address,area,Sum of avg_order_value,Sum of customer_id,customer_name,customer_segment,email,Sum of phone,Sum of pincode,Year,Quarter,Month,Day,Sum of total_orders
"H.No. 35, Rout Chowk, Bhiwani-310539",Malda,598.03,79866758,Chavvi Dhar,Inactive,fbakshi@example.net,912169606358,912239,2023,Qtr 2,April,13,14
"H.No. 353
Ramakrishnan Street, Begusarai-376450",Morbi,301.96,30535703,Dev Comar,Regular,jmurthy@example.net,919081513994,267760,2024,Qtr 2,June,6,3
"H.No. 357
Subramanian Road, Mirzapur-401810",Tirunelveli,480.61,21481338,Rajata Upadhyay,New,agatemaanav@example.org,914330661503,90749,2023,Qtr 4,November,17,17
"H.No. 36
Doctor Path, Aurangabad 897507",Ratlam,584.9,45868300,Isha Sheth,Premium,revaatwal@example.net,915776097269,406941,2023,Qtr 3,August,24,7
"H.No. 36
Sarin Circle, Moradabad-889706",Rohtak,1681.88,84161531,Raagini Verma,Premium,ethanmander@example.org,910033480072,902770,2024,Qtr 3,July,12,19
"H.No. 36
Seshadri Zila, Nanded-141728",Bhind,1824.43,76309170,Chandran Agate,Regular,rayomkaar@example.net,919151270003,592981,2023,Qtr 4,November,26,18
"H.No. 36, Dani Nagar, Madurai-481558",Farrukhabad,798.18,24357425,Wriddhish Munshi,Inactive,nazaretharin@example.net,919235521021,399792,2024,Qtr 3,July,17,6
"H.No. 36, Ravel Ganj
North Dumdum 835823",Durg,605.47,81373608,Priya Rai,Inactive,charannarain@example.net,913155698033,701263,2023,Qtr 2,June,14,4
"H.No. 36, Ray Path
Bellary 439994",Chittoor,288.08,77015367,Oni Bhagat,Regular,dominicbhandari@example.com,911974312832,58142,2024,Qtr 3,July,17,8
"H.No. 36, Sani, Tadepalligudem 412609",Moradabad,300.82,57474553,Damini Sule,Regular,ukrishnan@example.net,915057970429,441368,2023,Qtr 3,September,6,1
"H.No. 361, Sunder Chowk
Jalgaon 205509",Dindigul,1962.92,6187807,Jairaj Tata,New,paivritti@example.net,913518436146,921070,2023,Qtr 3,August,24,10
"H.No. 369, Buch Circle, Jammu-963201",Hospet,899.6,10830043,Gabriel Iyer,New,bbala@example.com,917749185958,548469,2023,Qtr 4,October,15,9
"H.No. 369, Dubey Path
Udupi-085926",Jalna,1210.36,34835738,Vrinda Mutti,Premium,wableyashoda@example.net,910828498011,891610,2023,Qtr 3,August,13,9
"H.No. 37
Balakrishnan, Raurkela Industrial Township-608642",Guntur,1166.67,5238055,Chandani D’Alia,Regular,sahninandini@example.net,910748552789,745044,2024,Qtr 1,January,29,3
"H.No. 37
Venkatesh, Sonipat-528712",Rewa,482.19,45383958,Aachal Mangat,New,yasti56@example.org,917359299521,626591,2024,Qtr 4,October,2,19
"H.No. 37
Wagle Marg
Bongaigaon 438069",Ahmednagar,547.78,33658749,Anjali Varty,Inactive,bedidalbir@example.org,918590440985,877365,2024,Qtr 1,March,11,6
"H.No. 37, Karpe Marg
Rajkot 008569",Tenali,1153.17,66354642,Priya Behl,Premium,pdas@example.org,918110065349,696330,2024,Qtr 1,March,30,7
"H.No. 37, Patla Circle
Madurai 325088",Berhampore,301.73,3844290,Yashawini Thaman,Inactive,kohliwyatt@example.com,915485602730,88516,2023,Qtr 4,October,29,2
"H.No. 370, Nagi Street
Bulandshahr 539967",Fatehpur,1400.1,60835946,Yoshita Sani,Inactive,fganesh@example.org,910580757571,847170,2024,Qtr 2,April,24,14
"H.No. 375
Mangal Marg
Ludhiana-653677",Nizamabad,436.35,15144290,Omkaar Swamy,New,ekaraj66@example.org,918174880266,789273,2024,Qtr 4,October,17,19
"H.No. 375, Nagi Marg
Jammu-016214",Kalyan-Dombivli,280.67,91778474,Sai Raman,Regular,jeremiah38@example.org,918148699845,968102,2024,Qtr 1,February,25,20
"H.No. 377, Agrawal Marg
Jhansi-922863",Udaipur,1205.49,88346104,Lakshit Hari,Regular,troy@example.net,915042749936,758,2024,Qtr 1,March,19,17
"H.No. 38
Loyal Street
Vellore 607787",Latur,661.58,2442235,Pushti Bhattacharyya,Premium,qmaharaj@example.org,910324285991,117097,2024,Qtr 2,May,17,11
"H.No. 38
Prabhu Nagar, Gorakhpur-773747",Aligarh,1419.6,30367559,Bhavna Guha,Regular,isabharwal@example.com,916618110362,885164,2024,Qtr 3,September,29,6
"H.No. 38
Sankar Circle, Kota-391161",Malegaon,356.62,60271325,Michael Chopra,New,harshdalal@example.org,915509074408,838512,2024,Qtr 2,May,8,8
"H.No. 38, Mannan Ganj, Aurangabad 039376",Mira-Bhayandar,913.91,40256341,Sachi Keer,Regular,tanay81@example.org,911953677888,60405,2024,Qtr 4,October,27,12
"H.No. 384
Yohannan Chowk, Nanded-222053",South Dumdum,1352.7,16359370,Harsh Gaba,Premium,zayan66@example.org,919244843255,945900,2023,Qtr 4,December,5,1
"H.No. 39
Master Marg
Silchar-029236",Bhiwandi,990.58,87256913,Abhiram Kannan,Regular,wagate@example.org,919125464205,398030,2024,Qtr 4,October,1,10
"H.No. 39
Sarkar Path
Karawal Nagar-657936",Anantapuram,1784.32,376144,Ira Chhabra,Regular,caleb02@example.com,914254514422,627253,2023,Qtr 4,December,19,13
"H.No. 39, Bora Street
Bellary-036992",Pimpri-Chinchwad,1177.34,69219122,Varsha Varughese,Premium,inayaswaminathan@example.com,917327181780,579100,2024,Qtr 4,October,9,17
"H.No. 39, Sekhon Street, Sagar 312966",Korba,1076.14,48511124,Girish Shankar,Inactive,aggarwalhenry@example.org,912703776064,315557,2023,Qtr 2,May,15,10
"H.No. 39, Sura Street
Shahjahanpur-125310",Machilipatnam,1284.27,31831843,Aarini Bir,Inactive,htailor@example.com,919194767607,762247,2023,Qtr 1,March,28,10
"H.No. 391
Batra Street
Nangloi Jat 215269",Gandhinagar,978.81,27698051,Mitesh Savant,Premium,indalimane@example.net,914958966273,229507,2023,Qtr 3,July,30,19
"H.No. 392, Karpe Marg, Ahmedabad-346669",Jaipur,910.12,12695670,Anya Borde,Premium,qahuja@example.net,914953830813,7202,2023,Qtr 3,September,25,10
"H.No. 398, Iyer Chowk
Vijayanagaram-137056",Bareilly,870.68,12622901,Januja Kaul,Inactive,dhaliwaljagdish@example.com,916791709159,724988,2024,Qtr 3,August,7,3
"H.No. 399
Yadav Marg, Mango 503337",Kolhapur,504.15,31622158,Omya Modi,New,bailjonathan@example.com,919629355011,478462,2023,Qtr 2,May,6,20
"H.No. 399, Bhatnagar Ganj
Nagercoil 907151",Erode,1412.04,74548003,Falan Dhillon,Regular,bakhshi09@example.org,913585767899,455503,2024,Qtr 3,July,15,9
"H.No. 40
Vig Ganj, Dehri 859344",Dehri,1704.93,98709982,Dhruv Kalita,Inactive,toormegha@example.org,914768443428,79160,2024,Qtr 2,April,11,1
"H.No. 40, Gopal Ganj, Bidar 854350",Kavali,637.35,119099,Zansi Parsa,Inactive,neha08@example.com,912032907631,692517,2023,Qtr 3,August,1,20
"H.No. 40, Sekhon Chowk
Ajmer 858814",Ahmedabad,280.45,2928026,Vrishti Basak,New,gautamisrinivasan@example.com,915081846964,960708,2024,Qtr 1,March,20,9
"H.No. 40, Wason Ganj, Amaravati-597149",Nellore,263.3,38478423,Theodore Doctor,Premium,thomasdin@example.org,910273723560,156234,2024,Qtr 1,March,29,3
"H.No. 401
Nori Circle, Phusro-398654",Dibrugarh,787.07,40419593,Siya Pandit,Inactive,dbera@example.org,918818400484,493928,2024,Qtr 3,August,27,20
"H.No. 404, Bhalla Chowk
Visakhapatnam 048875",Ichalkaranji,723.95,1655637,Turvi Radhakrishnan,Regular,mpandit@example.org,919130065165,548633,2023,Qtr 3,September,17,19
"H.No. 406
Batta Circle, Bikaner-296769",Ghaziabad,1030.06,26227445,Krishna Warrior,Regular,ishakara@example.com,913316251669,632750,2024,Qtr 3,September,7,1
"H.No. 409, Badal Marg
Morena-092728",Uluberia,1370.22,94078407,Praneel Baria,Premium,olata@example.org,913022848733,208164,2024,Qtr 1,January,23,4
"H.No. 41
Bawa Ganj, Surendranagar Dudhrej-587195",Sri Ganganagar,598.79,18889370,Mason Atwal,Regular,ckashyap@example.org,916363015013,255117,2023,Qtr 2,June,14,18
"H.No. 412
Batra Zila, Bhilai 424489",Ahmednagar,1049.6,20298398,Urvi Bali,New,yuvrajdayal@example.org,914923522636,278627,2023,Qtr 4,December,22,1
"H.No. 413
Bera Marg
Madhyamgram 098129",Korba,1472.23,17201639,Vidhi Toor,New,qsani@example.com,913882677422,139363,2023,Qtr 2,May,23,15
"H.No. 413, Char Nagar, Mehsana-538034",Coimbatore,1303.37,11387110,Om Sastry,Premium,aishani38@example.com,915717298058,14359,2023,Qtr 3,August,17,8
"H.No. 415
Dalal Circle
Sikar-264681",Rampur,505.34,85907588,Avni Rai,Inactive,ybarad@example.org,914447534743,639737,2024,Qtr 1,March,13,5
"H.No. 417
Goel Road, Alappuzha-241112",Chapra,271.53,16376189,Samaksh Srivastava,Premium,vsom@example.org,914908958231,840977,2024,Qtr 1,February,25,10
"H.No. 419, Ranganathan Road
Thane-511020",Khammam,1954.42,93867669,Vrishti Bhatti,Inactive,ochoudhary@example.net,918863841928,755055,2024,Qtr 1,February,21,10
"H.No. 42
Dhar Nagar, Akola-282403",Kottayam,1054,89523804,Girik Sangha,Inactive,smane@example.net,911909354917,262919,2024,Qtr 2,April,25,1
"H.No. 42
Korpal Zila
Kollam 079499",Hosur,224.41,29097987,Matthew Subramanian,Inactive,samuel89@example.net,910735951192,56400,2024,Qtr 2,April,23,12
"H.No. 42, Wali
Panihati-273533",Navi Mumbai,532.31,88223261,Yoshita Suri,Regular,xiti38@example.com,914811973924,578028,2024,Qtr 1,January,14,7
"H.No. 426, Rai Path, Maheshtala 883085",Panvel,1295.96,82708090,Krishna Seshadri,Premium,raghav93@example.net,915447759512,210002,2024,Qtr 1,January,1,7
"H.No. 428
Dewan Road, Hospet-604940",Guntakal,950.79,55404382,Isaiah Issac,Premium,csahni@example.net,915616720604,245224,2023,Qtr 3,September,25,19
"H.No. 428
Kade Street, Vijayanagaram 476346",Hazaribagh,269.4,81420960,Warda Chanda,Inactive,korpalomya@example.net,912178760305,367446,2023,Qtr 2,May,21,2
"H.No. 43
Mani Street
Katni-561753",Belgaum,1601.81,70608515,Aashi Behl,Inactive,jaingarima@example.org,915323777280,962036,2024,Qtr 3,July,13,4
"H.No. 43
Tailor Nagar
Tadipatri 360847",Thiruvananthapuram,1298.79,20238921,Shivani Kumer,Premium,ubhargava@example.com,911937082654,602258,2023,Qtr 3,September,29,8
"H.No. 43, Bhasin Marg, Nellore-336446",Davanagere,461.87,86479284,Harini Kadakia,Premium,jacobmadan@example.org,916786214335,315863,2024,Qtr 4,October,17,9
"H.No. 43, Devan Street
Barasat 071684",Sasaram,1806.01,72857290,Krishna Aggarwal,Inactive,mahikakala@example.net,912668380523,9157,2023,Qtr 3,September,20,13
"H.No. 43, Sidhu Marg, Ballia-663728",Tiruppur,283.36,61522288,Gunbir Kala,New,balendratak@example.com,913225727510,828461,2023,Qtr 3,July,2,8
"H.No. 43, Swaminathan
Mau-891182",Guntakal,336.81,3096845,Yashvi Chander,New,saksham67@example.com,914918237687,853373,2023,Qtr 4,October,22,20
"H.No. 434
Pradhan Zila, Gorakhpur 540230",Kulti,1287.78,72946405,Ria Kuruvilla,Premium,oscar26@example.net,913574244187,547077,2024,Qtr 1,February,7,6
"H.No. 44
Gera Zila, Kottayam-835901",Anantapur,337.07,81200164,Zehaan Chaudhry,Regular,qoza@example.com,913605357175,891346,2024,Qtr 3,August,30,10
"H.No. 44
Hora Circle
Jabalpur 884514",Tiruchirappalli,1047.73,97111119,Ridhi Sekhon,Regular,rmishra@example.com,914119413443,980279,2024,Qtr 3,September,11,13
"H.No. 44
Khurana Nagar
Arrah 563930",Kanpur,701.13,49371494,Zansi Banik,Regular,lohit10@example.net,916624700517,542949,2023,Qtr 4,December,14,18
"H.No. 44
Sarma Chowk
Bettiah 917609",Vellore,617.71,97286925,Omkaar Bedi,Inactive,girindra67@example.com,912878097839,106555,2023,Qtr 3,August,30,20
"H.No. 44, Garde Street
Indore 604835",Darbhanga,1523.88,16543242,Vihaan Korpal,Premium,dayalekaraj@example.net,910147864761,887597,2023,Qtr 2,June,5,6
"H.No. 44, Tata Nagar, Guwahati 451820",Ahmednagar,762.82,11478478,Vedika Dugal,Inactive,sroy@example.org,912256745079,955878,2023,Qtr 4,October,31,17
"H.No. 444
Varma Marg
Hazaribagh-735198",Bikaner,1313.89,35812567,Xalak Sood,Regular,khuranaurmi@example.com,912216882380,668122,2024,Qtr 2,June,25,6
"H.No. 446
Soni
Bihar Sharif 011073",New Delhi,1513.18,12778027,Eshana Prabhu,New,isha32@example.com,914584193699,862253,2023,Qtr 2,May,26,9
"H.No. 45
Dhar Marg, Kulti 279105",Agra,1680.48,59930550,Anamika Wali,Inactive,madhavi76@example.org,914386068992,661359,2024,Qtr 2,April,22,20
"H.No. 45
Maharaj Circle, Bardhaman-464292",Nagaon,619.69,36428139,Hemani Ben,Premium,reva92@example.com,914591296611,993212,2024,Qtr 2,April,9,15
"H.No. 45
Minhas Nagar, Amritsar 574954",Bhilwara,1888.02,60062501,Anirudh Mistry,New,abhiramsrivastava@example.com,915499082414,250202,2024,Qtr 1,January,4,2
"H.No. 45
Nadig Ganj, Ongole-168533",Hazaribagh,391.73,25526479,Mason Doctor,Regular,siyasinghal@example.net,912906385338,154794,2023,Qtr 1,March,16,2
"H.No. 45
Pradhan Chowk, Akola 580457",Bijapur,1573.7,40727086,Osha Brahmbhatt,New,harishnayak@example.org,916461216182,113784,2024,Qtr 1,January,5,11
"H.No. 45, Hayer Circle
Varanasi 847363",Mira-Bhayandar,510.76,51557673,Faras Varughese,New,hemangchhabra@example.net,916220367302,270793,2023,Qtr 3,August,1,4
"H.No. 450, Kibe, Ghaziabad 278382",Tirunelveli,1163.42,58893807,Faris Sekhon,Inactive,chopradiya@example.net,913942225634,29632,2024,Qtr 1,February,15,14
"H.No. 451, Bahri Marg
Bijapur-550836",Khora,1509.24,30900441,Omaja Misra,New,badamiaarnav@example.org,912015902923,130415,2024,Qtr 3,July,25,18
"H.No. 452
Bobal Path, Medininagar-979279",Coimbatore,1736.28,27304827,Arjun Bhardwaj,Premium,jason04@example.org,912458388214,986968,2024,Qtr 2,June,1,9
"H.No. 454
Wali Path
Rourkela-757587",Jalna,972.71,27824078,Caleb Ramakrishnan,Inactive,duaeshana@example.com,913638102635,664273,2024,Qtr 3,September,15,12
"H.No. 456, Pai Path, Amroha 878650",Nizamabad,1964.72,88517890,Anvi Swaminathan,Premium,duttirya@example.net,910119087925,524369,2024,Qtr 3,August,14,10
"H.No. 46
Lata Chowk, Buxar-942853",Sambhal,321.96,14458150,Kamya Ratta,Premium,svasa@example.net,918686743400,867424,2024,Qtr 3,July,30,13
"H.No. 46
Oak Path, Dewas 419841",Nagpur,267.32,27694927,Vedant Chandra,Premium,bhavikadara@example.org,910304045215,711139,2024,Qtr 2,June,11,8
"H.No. 46, Thakur Street
Gurgaon 146541",Moradabad,1438.23,5135207,Xalak Mittal,Premium,libnikonda@example.com,911767908819,383404,2023,Qtr 3,August,24,3
"H.No. 464
Singhal Marg
Patna-308566",Bhagalpur,480.47,10683250,Manthan Sundaram,Regular,ekavir81@example.org,915063231276,545885,2024,Qtr 3,July,19,14
"H.No. 465, Vala Zila, Indore-145041",Machilipatnam,1479.93,48418662,Matthew Joshi,Premium,rattanhamsini@example.net,919709891239,124809,2024,Qtr 2,June,21,12
"H.No. 466, Bhavsar Nagar, Kalyan-Dombivli-115231",Nellore,316.79,81940369,Nilima Chaudhuri,Premium,agrawalmugdha@example.com,912540363435,522947,2024,Qtr 1,February,24,10
"H.No. 47
Goda Zila
Chittoor-109669",Shahjahanpur,1632.23,70363568,Ekavir Sunder,New,siyengar@example.com,918983652368,354549,2023,Qtr 3,August,3,13
"H.No. 47
Saran Ganj
Shimoga-583550",Aurangabad,1607.05,5716817,Xalak Master,Inactive,pandeyadvik@example.com,910206300476,378247,2024,Qtr 1,March,11,3
"H.No. 47, Bhavsar Path, Baranagar-818711",Begusarai,420.78,84986716,Eta Hegde,Regular,aishanisachar@example.org,913326580748,408698,2024,Qtr 2,April,21,8
"H.No. 47, Singh Nagar
Nellore 891716",Pali,295.18,54222320,Edhitha Kakar,Regular,pillayomisha@example.org,917018280903,375546,2023,Qtr 3,July,24,19
"H.No. 470
Gopal Path, Tadipatri-853677",Thiruvananthapuram,1509.04,81337068,Ira Kapur,Regular,benjamintara@example.org,914074818769,958921,2024,Qtr 1,January,28,10
"H.No. 475, Bail Ganj, Dehradun-784526",Hosur,1612.31,96461062,Udarsh Lal,Regular,jhalak01@example.com,918622135896,683470,2023,Qtr 2,May,29,14
"H.No. 477, Khalsa Zila
Kurnool-102764",Hajipur,1608.81,79742293,Faris Mohanty,Regular,udarsh64@example.com,919172230427,123910,2024,Qtr 1,February,11,17
"H.No. 478
Pau Chowk
Rampur 353285",Ratlam,1055.17,66485571,Anthony Pall,Inactive,sastryyug@example.com,913392530795,618561,2023,Qtr 3,September,15,2
"H.No. 478
Rao Nagar, Noida 012414",Khammam,1557.45,50557979,Kiaan Naidu,Premium,mdeol@example.org,914579644974,399392,2024,Qtr 1,March,31,6
"H.No. 48
Kamdar
Salem 078745",Darbhanga,231.41,31371112,Osha Chad,Regular,babujoshua@example.org,915023632803,351799,2023,Qtr 4,November,17,5
"H.No. 48
Manda Zila
Mahbubnagar 841942",Patiala,524.5,62807542,Chatura Apte,Premium,andrajyoti@example.com,914546734417,340166,2023,Qtr 1,March,17,11
"H.No. 48, Dora Marg
Jamshedpur-323719",Dhanbad,266.6,65514005,Ekapad Kuruvilla,Regular,yatinsoni@example.com,915893633406,615240,2023,Qtr 3,July,21,16
"H.No. 48, Luthra Ganj
Baranagar-391311",Pali,1029.98,67386193,Wakeeta Khurana,Regular,pillaifariq@example.net,919266189601,488313,2024,Qtr 2,June,1,14
"H.No. 482
Aggarwal Zila
Kolhapur-540436",Tumkur,409.49,89867195,Akshay Comar,Premium,qbarman@example.com,918310611085,216353,2023,Qtr 4,October,11,10
"H.No. 485
Mangat Street, Varanasi-453576",Sirsa,1785.8,41647393,Simon Padmanabhan,Inactive,kevin23@example.com,916509506565,149812,2023,Qtr 4,November,9,11
"H.No. 486, Chaudhary Road
Gangtok-942061",Bahraich,1700.46,26412689,Yadavi Rastogi,Regular,hemanimander@example.net,915932940928,693005,2024,Qtr 2,June,13,1
"H.No. 486, Sen Road, Silchar-440108",Nandyal,259.96,37947202,Eta Srinivasan,Regular,mitali78@example.org,910505228431,87344,2024,Qtr 1,January,25,3
"H.No. 487
Bera Ganj
Coimbatore 258160",Bally,721.04,77862447,Tejas Doshi,New,yashawini78@example.org,915361300488,410832,2023,Qtr 3,July,14,3
"H.No. 49
Khare Zila, Khammam-745540",Nangloi Jat,771.9,59094034,Ekanta Dass,Regular,johalkala@example.net,918448088232,513907,2023,Qtr 2,May,22,1
"H.No. 49
Pant
Gulbarga-778142",Solapur,1354.66,2114782,Brinda Jha,Premium,bhardwajwyatt@example.com,917944628948,803955,2023,Qtr 2,May,29,3
"H.No. 49, Chahal Road
Medininagar 760903",Rajahmundry,1681.18,38671747,Falan Acharya,New,varenya53@example.com,919757061756,758751,2023,Qtr 4,November,5,16
"H.No. 491, Ram Marg
Belgaum 471793",Yamunanagar,1166.83,31923338,Ishwar Goyal,New,ejaggi@example.com,917810888270,838368,2024,Qtr 1,March,13,8
"H.No. 494, Thakkar Chowk, Kalyan-Dombivli-939080",Ajmer,463.08,46563355,Zehaan Srinivasan,Premium,sathvikmane@example.net,910375807037,295136,2024,Qtr 1,February,15,19
"H.No. 50
Dave Marg
Nashik 705135",Jaunpur,1053.33,65692224,Aahana Buch,Regular,zayyan92@example.com,916331588994,542226,2023,Qtr 1,March,18,3
"H.No. 50
Munshi Zila, Amaravati-880526",Farrukhabad,559.99,50652909,Meera Jain,Regular,deyrehaan@example.org,912415312076,124819,2024,Qtr 1,February,25,8
"H.No. 50
Rastogi Path
Mehsana-686891",Sambhal,761.17,5901440,Faris Chopra,Premium,waida01@example.org,917602917789,719965,2024,Qtr 2,May,16,8
"H.No. 50
Venkataraman Ganj
Ongole-304771",Dehradun,363.61,51031122,Netra Kashyap,Regular,balanwazir@example.net,916851561853,437180,2023,Qtr 3,September,12,20
"H.No. 50, Contractor
Ambattur 379240",Farrukhabad,1497.71,48730063,Jatin Dua,New,sethiojas@example.org,916363756151,949389,2024,Qtr 2,April,3,19
"H.No. 50, Uppal Marg
Anantapur-558351",Nizamabad,1970.59,46623192,Warinder Sastry,New,pallaraksha@example.com,913785653819,232354,2024,Qtr 4,October,22,6
"H.No. 501, Deshpande Street
Madurai 919253",Thane,581.43,25287111,Lakshmi Ratti,Inactive,chakradhar10@example.com,913532064242,443182,2024,Qtr 1,February,25,9
"H.No. 502, Chhabra Zila
Ramagundam 546778",Dindigul,1164.81,11705793,Tripti Barad,New,natarajanfaris@example.org,915299677818,645810,2024,Qtr 2,April,12,18
"H.No. 509, Rajan Road
Bijapur 011279",Katihar,753.89,48228547,Anika Baria,Inactive,triyasinha@example.org,919310090582,248566,2024,Qtr 3,July,13,9
"H.No. 51
Cherian Road, Panchkula-653529",Phagwara,1811.32,12184293,Dayita Mand,Inactive,rudra41@example.net,918062427582,249442,2023,Qtr 2,June,16,7
"H.No. 51
Sampath Nagar, Bellary 602969",Madhyamgram,949.6,60565603,Ladli Tara,New,kallawaida@example.com,917749450638,390752,2024,Qtr 3,July,18,11
"H.No. 51, Lanka Street
Bettiah 293595",Ongole,509.85,66140659,Omya Iyengar,Premium,ishanimaharaj@example.net,916881997869,15696,2023,Qtr 4,December,9,8
"H.No. 51, Mahajan Street
Dehradun 313062",Kadapa,362.34,15534747,Oviya Luthra,Inactive,edhar@example.org,913346867550,76910,2023,Qtr 3,September,19,15
"H.No. 513
Buch Chowk, Mau-355674",Meerut,1283.1,46208150,Watika Bedi,New,lallawilliam@example.net,912333868900,266700,2024,Qtr 1,February,5,3
"H.No. 515, Balay Path
Amravati 503358",Gangtok,1255.9,15808945,Vrinda Khurana,New,wsekhon@example.com,918358677006,890545,2024,Qtr 2,April,10,6
"H.No. 515, Parikh Street
Proddatur 789104",Bangalore,874.8,44557943,Megha D’Alia,Inactive,pallawyatt@example.net,910518807208,391984,2024,Qtr 1,January,23,19
"H.No. 516
Basu Path, Bahraich-594933",Uluberia,1268.54,8881320,Tanmayi Sem,Regular,jsahota@example.com,917612486904,108657,2024,Qtr 4,October,24,7
"H.No. 517, Bhatti Marg, Bihar Sharif-108740",Miryalaguda,1620.46,14632090,Ria Baria,Regular,qsoman@example.net,917887645218,564210,2024,Qtr 1,March,31,15
"H.No. 52
Ramaswamy Chowk
Madhyamgram 745891",Jamalpur,1766.61,69762479,Joshua Banerjee,New,rohan04@example.org,919789920390,666332,2024,Qtr 1,March,25,19
"H.No. 52, Lalla Path
Saharanpur-442469",Bangalore,1215.61,8228843,Vritti Halder,Inactive,vyasmitesh@example.org,910299222582,542334,2024,Qtr 3,July,6,1
"H.No. 521
Buch, Shimla-883080",South Dumdum,759.03,80499378,Ekta Chowdhury,Inactive,warindertripathi@example.net,916375557719,642495,2024,Qtr 3,September,17,3
"H.No. 521
Peri, Khora  519235",Sultan Pur Majra,470.5,52613657,Kala Ravi,New,unni50@example.org,917291189791,685992,2023,Qtr 1,March,16,9
"H.No. 522, Ray Street, Mahbubnagar-522739",Saharsa,266.65,45586151,Pallavi Ram,Regular,ishroff@example.org,910115424009,488450,2023,Qtr 4,November,25,11
"H.No. 523, Sani Path, Rampur 258686",Asansol,1064.61,98896871,Laksh Narula,Regular,iverma@example.net,912037294459,479606,2023,Qtr 2,June,6,5
"H.No. 528, Uppal, Arrah 830864",Pimpri-Chinchwad,1595.6,49529811,Zayyan Swaminathan,Regular,liam57@example.net,913193823215,945135,2024,Qtr 2,May,16,13
"H.No. 53
Dutta Zila
Raiganj-923965",Bikaner,323.92,43066953,Hredhaan Sengupta,Regular,upma64@example.net,910309692891,349157,2024,Qtr 4,October,15,4
"H.No. 533, Grover Chowk
Panvel 187331",New Delhi,381.62,79960955,Chatresh Samra,New,yohannanshaurya@example.org,917990161657,606822,2023,Qtr 2,May,23,18
"H.No. 534
Taneja Ganj
Bangalore 238371",Bhagalpur,1954.78,43761120,Tarak Kumer,Inactive,hbava@example.com,917830075756,33353,2024,Qtr 2,June,1,19
"H.No. 535, Nair Path
Kurnool 247765",Shivpuri,1659.73,27955158,Abeer Kamdar,New,aaggarwal@example.net,917947344705,950386,2024,Qtr 1,March,16,13
"H.No. 537
Krishna Circle
Gurgaon 910763",Dhule,1511.1,20940403,Tanvi Kala,Premium,zayyan13@example.com,918270808381,711075,2023,Qtr 2,May,8,11
"H.No. 537, Solanki Nagar, Adoni-229163",Jehanabad,871.15,93735495,Urvi Prasad,Regular,sanyathaman@example.org,914690237071,984732,2023,Qtr 2,May,23,7
"H.No. 54
Bhandari Path
Siliguri-730057",Thanjavur,537.48,56548063,Advay Baria,New,qushikrish@example.net,910860756884,443618,2024,Qtr 3,August,11,20
"H.No. 54
Chowdhury Road, Phusro-208073",Sonipat,1382.19,87213891,Janani Malhotra,New,idikaamble@example.com,914987307199,813317,2023,Qtr 2,June,3,1
"H.No. 54
Kumer, Ahmednagar-380592",Raurkela Industrial Township,1465.59,57063557,Vaishnavi Srinivas,Inactive,onisubramaniam@example.org,919544044299,307921,2023,Qtr 2,June,27,5
"H.No. 54
Vaidya Road, Bijapur-157933",Nanded,1205.96,81136091,Yuvraj Chander,Regular,ichadha@example.net,919473448780,578739,2024,Qtr 1,March,27,15
"H.No. 54, Bajaj Path
Chandrapur-896543",Darbhanga,524.48,64403005,Ojas Sahota,New,garima59@example.com,912312186027,847487,2024,Qtr 3,July,3,12
"H.No. 542
Amble Ganj
Farrukhabad 572765",Jabalpur,528.12,91130614,Rayaan Seth,Inactive,chaman96@example.org,919679640338,364241,2023,Qtr 2,June,22,7
"H.No. 55
Khatri Circle, Jalna 323326",Naihati,304.06,32426778,Falguni Kapadia,Inactive,jdivan@example.net,917300449566,484917,2024,Qtr 2,May,27,14
"H.No. 55
Rau Chowk, Bhind 883639",Delhi,438.31,73377004,Dayamai Borah,Regular,gdhar@example.com,912623719552,989634,2023,Qtr 3,September,11,4
"H.No. 55, Choudhary Chowk
Ongole 045956",Machilipatnam,822.37,23794330,Nisha Amble,Regular,xbhakta@example.net,914117730044,324950,2024,Qtr 2,May,28,1
"H.No. 55, Ganesh Ganj, Proddatur 621180",Noida,1831.09,69089982,Daniel Reddy,Inactive,rrandhawa@example.org,919283864790,758620,2024,Qtr 3,September,16,5
"H.No. 55, Kala Path
Dibrugarh 172574",Bhilwara,741.83,59824662,Tanish Jayaraman,Premium,sarmaavi@example.net,917132578180,406032,2024,Qtr 2,May,18,1
"H.No. 55, Mittal Street
Coimbatore-087516",Amritsar,1458.87,25294147,Daksh Guha,New,rattabalveer@example.com,917692105074,125429,2024,Qtr 2,June,16,9
"H.No. 551, Bava Chowk
Madurai-398541",Siwan,1600.17,72489544,Sanaya Joshi,Inactive,gsampath@example.net,917642751322,332066,2024,Qtr 3,September,19,17
"H.No. 554
Dass Road
Phagwara 104165",Tenali,1168.22,69340015,Aryan Ravel,Premium,garasara@example.com,919295659484,314322,2023,Qtr 4,October,31,16
"H.No. 554
Lata Marg, Nagaon 736446",Khandwa,1803.11,43649266,Ayushman Menon,Inactive,anayrajagopalan@example.org,912709014809,984786,2024,Qtr 1,March,14,19
"H.No. 556
Rege Zila
Davanagere 091304",Tadipatri,316.16,92245432,Ayushman Goel,Premium,zagate@example.net,917707886127,863697,2024,Qtr 2,June,2,12
